FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Flip
06017,0.095,"18,100",9.5,24.15472653,7.066049726,-6.066049726
06019,0.144,"142,780",14.4,19.92957332,7.785491105,-6.785491105
06021,0.125,"3,520",12.5,43.32863466,8.181510138,-7.181510138
06023,0.15,"20,400",15,50.59427302,6.044411684,-5.044411684
06025,0.19,"34,270",19,35.04016587,6.449252717,-5.449252717
06027,0.107,"1,910",10.7,8.45889455,6.854280813,-5.854280813
06029,0.143,"127,510",14.3,68.3266608,7.130418754,-6.130418754
06031,0.126,"19,010",12.6,12.06127971,7.885519875,-6.885519875
06033,0.15,"9,610",15,16.52211661,7.319546098,-6.319546098
06035,0.112,"3,430",11.2,40.99745292,6.763981524,-5.763981524
06037,0.127,"1,271,040",12.7,45.65148277,7.088678698,-6.088678698
06039,0.126,"19,680",12.6,49.54900553,7.890154827,-6.890154827
06041,0.075,"19,470",7.5,43.33455782,7.123750899,-6.123750899
06043,0.149,"2,580",14.9,38.3165662,8.053504095,-7.053504095
06045,0.139,"12,130",13.9,16.82924531,7.35251213,-6.35251213
06047,0.139,"38,150",13.9,111.0840907,7.379467327,-6.379467327
06049,0.136,"1,210",13.6,81.11181281,6.843229777,-5.843229777
06051,0.107,"1,540",10.7,76.22742201,7.522288224,-6.522288224
06053,0.102,"44,380",10.2,41.6508866,7.779992494,-6.779992494
06055,0.087,"12,070",8.7,71.46496402,7.351227052,-6.351227052
06057,0.103,"10,230",10.3,64.3397177,6.672451092,-5.672451092
06059,0.094,"296,470",9.4,25.87298739,7.338228795,-6.338228795
06061,0.08,"31,360",8,24.91194455,7.373233313,-6.373233313
06063,0.131,"2,470",13.1,17.85479658,6.170146655,-5.170146655
06065,0.097,"237,110",9.7,44.51347358,7.512711616,-6.512711616
06067,0.117,"179,280",11.7,66.06745324,7.464828838,-6.464828838
06069,0.083,"5,100",8.3,32.68088984,6.1592093,-5.1592093
06071,0.106,"228,340",10.6,7.5955792,6.432138741,-5.432138741
06073,0.101,"336,190",10.1,29.14370414,7.816672005,-6.816672005
06075,0.11,"95,890",11,60.96753034,7.494966637,-6.494966637
06077,0.121,"90,820",12.1,17.55101514,7.321973129,-6.321973129
06079,0.091,"25,600",9.1,23.69223848,7.791921498,-6.791921498
06081,0.071,"53,990",7.1,46.83662551,7.248552862,-6.248552862
06083,0.092,"41,140",9.2,27.07665702,7.621245553,-6.621245553
06085,0.075,"144,140",7.5,40.24849059,7.709649656,-6.709649656
06087,0.1,"27,360",10,71.73087151,7.700656743,-6.700656743
06089,0.138,"24,670",13.8,40.89848036,7.284332458,-6.284332458
06091,0.113,330,11.3,64.56650532,7.84837444,-6.84837444
06093,0.15,"6,510",15,34.0577358,7.673240112,-6.673240112
06095,0.094,"41,840",9.4,13.41881053,7.930343887,-6.930343887
06097,0.093,"46,040",9.3,38.7949688,7.424061357,-6.424061357
06099,0.118,"64,320",11.8,6.707067599,7.601321219,-6.601321219
06101,0.125,"12,060",12.5,14.58424789,7.744366053,-6.744366053
06103,0.145,"9,310",14.5,40.78209042,7.980589129,-6.980589129
06105,0.159,"2,000",15.9,40.36176361,6.843019797,-5.843019797
06107,0.149,"69,330",14.9,4.043648035,7.134937255,-6.134937255
06109,0.13,"7,050",13,63.85788108,6.998779642,-5.998779642
06111,0.085,"72,180",8.5,11.49740436,7.660976786,-6.660976786
06113,0.106,"23,210",10.6,35.26074111,7.507586108,-6.507586108
06115,0.132,"10,260",13.2,19.96801408,3.058190785,-2.058190785
08001,0.093,"47,260",9.3,57.53687084,3.258786029,-2.258786029
08003,0.127,"2,050",12.7,38.92572922,3.031274586,-2.031274586
08005,0.09,"58,220",9,13.41769749,3.582783147,-2.582783147
08007,0.105,"1,430",10.5,25.56180406,2.371378098,-1.371378098
08009,0.128,460,12.8,26.25763763,2.544000652,-1.544000652
08011,0.143,810,14.3,25.20701018,3.338445287,-2.338445287
08013,0.087,"28,340",8.7,62.09929797,3.246077284,-2.246077284
08014,0.076,"5,310",7.6,19.36157686,3.429546991,-2.429546991
08015,0.113,"2,250",11.3,53.5135616,2.497628246,-1.497628246
08017,0.092,180,9.2,36.27735409,3.366119907,-2.366119907
08019,0.099,940,9.9,17.228416,3.348235304,-2.348235304
08021,0.123,"1,000",12.3,49.51148423,3.143732603,-2.143732603
08023,0.166,630,16.6,46.79463083,2.760066713,-1.760066713
08025,0.166,950,16.6,74.4828695,3.170722122,-2.170722122
08027,0.086,430,8.6,15.95943178,3.880287046,-2.880287046
08029,0.141,"4,320",14.1,72.395178,3.179284812,-2.179284812
08031,0.111,"79,290",11.1,24.23863126,4.008114397,-3.008114397
08033,0.1,190,10,27.13217319,3.14674989,-2.14674989
08035,0.057,"19,700",5.7,33.0939867,3.629620348,-2.629620348
