FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Normalized%,,,28.7,2.6
8075,0.104,"2,320",10.4,13.34441404,4.049688844,0.298850575,,,,
8077,0.121,"18,470",12.1,34.70272282,3.571806416,0.363984674,,,,
8079,0.114,100,11.4,44.3134344,4.110124321,0.337164751,,,,
8081,0.132,"1,730",13.2,24.39721008,4.012858014,0.406130268,,,,
8083,0.124,"3,250",12.4,24.62037467,3.967106458,0.375478927,,,,
8085,0.108,"4,580",10.8,55.08016605,2.982174246,0.314176245,,,,
8087,0.089,"2,560",8.9,13.09106434,2.714298019,0.24137931,,,,
8089,0.146,"2,670",14.6,36.00483058,3.822656594,0.459770115,,,,
8091,0.099,490,9.9,79.04700011,3.331814152,0.279693487,,,,
8093,0.077,"1,410",7.7,34.28330188,2.698070234,0.195402299,,,,
8095,0.067,290,6.7,45.76775598,3.653203277,0.157088123,,,,
8097,0.101,"1,820",10.1,53.12899501,2.362234802,0.287356322,,,,
8099,0.118,"1,420",11.8,15.21077554,2.944376889,0.352490421,,,,
8101,0.136,"22,720",13.6,38.16247892,4.05257498,0.421455939,,,,
8103,0.102,650,10.2,20.841376,3.420250188,0.291187739,,,,
8105,0.126,"1,420",12.6,44.28185374,3.791238598,0.383141762,,,,
8107,0.097,"2,450",9.7,68.03611083,3.416433746,0.272030651,,,,
8109,0.119,800,11.9,31.13489181,3.780511976,0.356321839,,,,
8111,0.123,80,12.3,32.70062681,3.990785302,0.37164751,,,,
8113,0.122,990,12.2,46.5051638,2.74916978,0.367816092,,,,
8115,0.126,290,12.6,2.294766728,3.481230978,0.383141762,,,,
8117,0.097,"2,970",9.7,52.27155187,3.166994542,0.272030651,,,,
8119,0.102,"2,540",10.2,24.41931397,2.793257353,0.291187739,,,,
8121,0.092,450,9.2,44.85565705,3.164352307,0.252873563,,,,
8123,0.089,"28,190",8.9,41.51012556,2.612774952,0.24137931,,,,
8125,0.081,810,8.1,14.0553981,1.890062405,0.210727969,,,,
9001,0.101,"95,520",10.1,24.21552023,2.1318648,0.287356322,,,,
9003,0.116,"103,890",11.6,35.86575664,2.07072106,0.344827586,,,,
9005,0.104,"18,850",10.4,58.02497856,2.051826451,0.298850575,,,,
9007,0.098,"15,900",9.8,57.47995589,1.98618229,0.275862069,,,,
9009,0.117,"100,520",11.7,25.0400666,2.117415592,0.348659004,,,,
9011,0.122,"32,590",12.2,74.31093281,2.195236897,0.367816092,,,,
9013,0.094,"14,160",9.4,28.89977977,2.233801222,0.260536398,,,,
9015,0.128,"14,930",12.8,35.36225276,0.989070214,0.390804598,,,,
10001,0.125,"22,320",12.5,2.465243232,1.155226001,0.379310345,,,,
10003,0.101,"56,430",10.1,37.8530103,0.855949339,0.287356322,,,,
10005,0.108,"24,790",10.8,11.73618091,0.936982642,0.314176245,,,,
11001,0.098,"68,820",9.8,20.17725458,0.294094758,0.275862069,,,,
12001,0.124,"33,350",12.4,27.91003995,0.161557826,0.375478927,,,,
12003,0.105,"3,000",10.5,22.36046295,0.38689001,0.302681992,,,,
12005,0.132,"23,830",13.2,55.53965047,0.184756379,0.406130268,,,,
12007,0.15,"4,150",15,74.13841515,0.226840511,0.475095785,,,,
12009,0.114,"67,460",11.4,39.77571578,0.109858542,0.337164751,,,,
12011,0.108,"210,540",10.8,46.21616857,0.257230393,0.314176245,,,,
12013,0.139,"2,000",13.9,39.95700398,0.101195,0.432950192,,,,
12015,0.129,"24,000",12.9,37.38826258,0.305862009,0.394636015,,,,
12017,0.148,"21,940",14.8,47.69221848,0.126154642,0.46743295,,,,
12019,0.095,"20,470",9.5,60.75999522,0.231733169,0.264367816,,,,
12021,0.1,"37,920",10,54.56239834,0.265570867,0.283524904,,,,
12023,0.132,"9,330",13.2,6.295226166,0.187453066,0.406130268,,,,
12027,0.152,"5,690",15.2,26.9696777,0.413420527,0.482758621,,,,
