FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
08073,0.108,610,10.8,42.13144486,2.891524168
08075,0.104,"2,320",10.4,13.34441404,4.049688844
08077,0.121,"18,470",12.1,34.70272282,3.571806416
08079,0.114,100,11.4,44.3134344,4.110124321
08081,0.132,"1,730",13.2,24.39721008,4.012858014
08083,0.124,"3,250",12.4,24.62037467,3.967106458
08085,0.108,"4,580",10.8,55.08016605,2.982174246
08087,0.089,"2,560",8.9,13.09106434,2.714298019
08089,0.146,"2,670",14.6,36.00483058,3.822656594
08091,0.099,490,9.9,79.04700011,3.331814152
08093,0.077,"1,410",7.7,34.28330188,2.698070234
08095,0.067,290,6.7,45.76775598,3.653203277
08097,0.101,"1,820",10.1,53.12899501,2.362234802
08099,0.118,"1,420",11.8,15.21077554,2.944376889
08101,0.136,"22,720",13.6,38.16247892,4.05257498
08103,0.102,650,10.2,20.841376,3.420250188
08105,0.126,"1,420",12.6,44.28185374,3.791238598
08107,0.097,"2,450",9.7,68.03611083,3.416433746
08109,0.119,800,11.9,31.13489181,3.780511976
08111,0.123,80,12.3,32.70062681,3.990785302
08113,0.122,990,12.2,46.5051638,2.74916978
08115,0.126,290,12.6,2.294766728,3.481230978
08117,0.097,"2,970",9.7,52.27155187,3.166994542
08119,0.102,"2,540",10.2,24.41931397,2.793257353
08121,0.092,450,9.2,44.85565705,3.164352307
08123,0.089,"28,190",8.9,41.51012556,2.612774952
08125,0.081,810,8.1,14.0553981,1.890062405
09001,0.101,"95,520",10.1,24.21552023,2.1318648
09003,0.116,"103,890",11.6,35.86575664,2.07072106
09005,0.104,"18,850",10.4,58.02497856,2.051826451
09007,0.098,"15,900",9.8,57.47995589,1.98618229
09009,0.117,"100,520",11.7,25.0400666,2.117415592
09011,0.122,"32,590",12.2,74.31093281,2.195236897
09013,0.094,"14,160",9.4,28.89977977,2.233801222
09015,0.128,"14,930",12.8,35.36225276,0.989070214
10001,0.125,"22,320",12.5,2.465243232,1.155226001
10003,0.101,"56,430",10.1,37.8530103,0.855949339
10005,0.108,"24,790",10.8,11.73618091,0.936982642
11001,0.098,"68,820",9.8,20.17725458,0.294094758
12001,0.124,"33,350",12.4,27.91003995,0.161557826
12003,0.105,"3,000",10.5,22.36046295,0.38689001
12005,0.132,"23,830",13.2,55.53965047,0.184756379
12007,0.15,"4,150",15,74.13841515,0.226840511
12009,0.114,"67,460",11.4,39.77571578,0.109858542
12011,0.108,"210,540",10.8,46.21616857,0.257230393
12013,0.139,"2,000",13.9,39.95700398,0.101195
12015,0.129,"24,000",12.9,37.38826258,0.305862009
12017,0.148,"21,940",14.8,47.69221848,0.126154642
12019,0.095,"20,470",9.5,60.75999522,0.231733169
12021,0.1,"37,920",10,54.56239834,0.265570867
12023,0.132,"9,330",13.2,6.295226166,0.187453066
12027,0.152,"5,690",15.2,26.9696777,0.413420527
12029,0.146,"2,450",14.6,37.85518225,0.015659613
12031,0.122,"115,780",12.2,54.81867008,0.23722701
12033,0.127,"40,300",12.7,49.24640005,0.315233808
12035,0.115,"12,990",11.5,30.2217622,0.235371624
12037,0.148,"1,760",14.8,38.61713548,0.102750673
12039,0.132,"6,060",13.2,32.35023123,0.381325801
12041,0.124,"2,260",12.4,52.69183657,0.237829939
12043,0.124,"1,710",12.4,22.38579832,0.30962238
12045,0.126,"1,900",12.6,42.51627196,0.144027939
12047,0.166,"2,390",16.6,59.40711806,0.18584468
12049,0.143,"3,860",14.3,36.15588412,0.213834404
12051,0.15,"6,210",15,70.7026455,0.203025673
12053,0.138,"26,250",13.8,58.86903556,0.298401771
12055,0.142,"14,820",14.2,37.68700482,0.028394741
12057,0.114,"165,220",11.4,47.24259109,0.469362848
12059,0.162,"3,170",16.2,75.446324,0.109567623
12061,0.112,"17,650",11.2,60.74692475,0.295558418
12063,0.137,"6,520",13.7,64.40448082,0.125866301
12065,0.124,"1,770",12.4,34.93022592,0.282553537
12067,0.122,"1,050",12.2,66.04938984,0.109809391
12069,0.124,"44,100",12.4,12.49559327,0.008947904
12071,0.112,"84,750",11.2,64.72953339,0.02103742
12073,0.12,"34,920",12,40.53788305,0.462960163
12075,0.148,"6,060",14.8,22.62972535,0.17250645
12077,0.154,"1,280",15.4,24.42527382,0.133139783
12079,0.165,"3,070",16.5,53.97455618,0.047369371
12081,0.112,"44,000",11.2,35.68777791,0.294835267
12083,0.131,"47,350",13.1,46.11455989,0.127952836
12085,0.104,"16,750",10.4,62.38346799,0.173140048
12086,0.108,"291,150",10.8,39.27728363,0.382576298
12087,0.113,"8,520",11.3,68.36306299,0.092313058
12089,0.107,"9,210",10.7,48.63654708,0.466661734
12091,0.112,"23,190",11.2,24.86574206,0.160611471
12093,0.127,"5,270",12.7,58.0573831,0.031076595
12095,0.128,"175,830",12.8,40.68868488,0.185472928
12097,0.138,"50,030",13.8,22.95043436,0.242732945
12099,0.106,"157,710",10.6,61.3881432,0.117812671
12101,0.123,"66,430",12.3,120.3846829,0.09661576
12103,0.122,"118,890",12.2,199.5332699,0.214005071
12105,0.133,"93,610",13.3,168.1011741,0.250455605
12107,0.162,"11,930",16.2,170.6500247,0.172423162
12109,0.085,"21,830",8.5,134.0022998,0.039069218
12111,0.117,"37,400",11.7,161.7148027,0.339416129
12113,0.106,"18,980",10.6,122.1960327,0.057141802
12115,0.108,"46,190",10.8,153.7636564,0.0795211
12117,0.099,"46,120",9.9,186.5304785,0.202309908
12119,0.114,"14,800",11.4,144.5700073,0.225658424
12121,0.128,"5,650",12.8,181.5728164,0.245211666
12123,0.153,"3,330",15.3,127.2797809,0.214034786
12125,0.123,"1,880",12.3,172.948283,0.188860333
12127,0.129,"70,350",12.9,172.7150539,0.081061915
12129,0.082,"2,700",8.2,128.8167953,0.553923248
12131,0.118,"8,410",11.8,129.3901548,0.403557171
12133,0.162,"4,070",16.2,161.8508154,0.379052972
13001,0.142,"2,620",14.2,187.5378825,0.20558808
13003,0.149,"1,230",14.9,188.4554761,0.35516049
13005,0.162,"1,800",16.2,144.3279391,0.31941428
13007,0.147,450,14.7,138.7146646,0.126432908
13009,0.144,"6,470",14.4,165.635485,0.121611512
13011,0.127,"2,390",12.7,188.8436089,0.08620694
13013,0.101,"8,210",10.1,178.2945775,0.219949216
13015,0.118,"12,550",11.8,151.1449152,0.32808205
13017,0.172,"2,900",17.2,158.4212017,0.160587055
13019,0.163,"3,120",16.3,168.360147,0.034738104
13021,0.161,"24,670",16.1,145.8392523,0.142841566
13023,0.142,"1,830",14.2,173.632814,0.302496561
13025,0.146,"2,760",14.6,149.6807118,0.084682918
13027,0.14,"2,170",14,154.3909012,0.115492443
13029,0.098,"3,770",9.8,152.309573,0.231604094
13031,0.135,"10,530",13.5,196.2578211,0.132471524
13033,0.124,"2,810",12.4,142.9556778,0.198552485
13035,0.146,"3,560",14.6,191.597683,0.356494504
13037,0.141,890,14.1,193.5559058,0.201813379
13039,0.116,"6,280",11.6,175.4476899,0.320552037
13043,0.164,"1,770",16.4,183.3378788,0.167494469
13045,0.125,"14,890",12.5,173.3541406,0.063952315
13047,0.107,"7,180",10.7,162.6634651,0.191260401
13049,0.149,"1,940",14.9,130.2288779,0.030280585
13051,0.125,"36,110",12.5,153.8656874,0.069799126
